The average c_Ia, ET, Fc, M_relative and TmpSoil values are estimated by DHM-WM global water balance routine as below:
date	c_Ia	ET(mm)	Fc(mm)	M_rel	TmpSoil(C)
20060818	0.000	2.82	0.00	0.28	22.91
20060819	0.000	2.76	0.00	0.27	22.82
20060820	0.121	4.36	0.00	0.26	22.91
20060821	0.120	3.97	0.00	0.27	22.99
20060822	0.120	3.45	0.00	0.27	22.99
20060823	0.000	2.66	0.00	0.27	22.97
20060824	0.121	3.39	0.00	0.26	23.03
20060825	0.000	2.26	0.00	0.26	22.92
20060826	0.000	2.69	0.00	0.26	22.95
20060827	0.000	2.52	0.00	0.25	22.96
20060828	0.000	2.70	0.00	0.25	23.08
20060829	0.000	2.58	0.00	0.24	23.30
20060830	0.125	3.54	0.00	0.24	23.27
20060831	0.124	5.29	0.16	0.24	23.20
20060901	0.121	3.41	0.01	0.26	23.11
20060902	0.122	2.73	0.00	0.26	23.06
20060903	0.000	2.57	0.00	0.25	23.03
20060904	0.000	2.56	0.00	0.24	22.97
20060905	0.124	2.55	0.00	0.24	22.94
20060906	0.124	1.81	0.00	0.24	22.73
20060907	0.125	4.22	0.18	0.23	22.22
20060908	0.000	1.99	0.00	0.25	21.97
20060909	0.000	2.11	0.00	0.25	21.89
20060910	0.124	2.07	0.00	0.24	21.88
20060911	0.000	1.93	0.00	0.24	21.86
20060912	0.124	2.72	0.00	0.24	21.77
20060913	0.124	3.01	0.07	0.24	21.52
20060914	0.000	1.98	0.00	0.24	21.44
20060915	0.000	2.12	0.00	0.24	21.34
20060916	0.000	2.11	0.00	0.23	21.45
20060917	0.000	2.05	0.00	0.23	21.63
20060918	0.126	3.51	0.04	0.23	21.75
20060919	0.125	2.91	0.03	0.23	21.66
20060920	0.000	1.82	0.00	0.24	21.06
20060921	0.000	2.03	0.00	0.23	20.53
20060922	0.000	2.04	0.00	0.23	20.54
20060923	0.000	1.98	0.00	0.23	20.90
20060924	0.126	3.17	0.00	0.22	21.24
20060925	0.000	1.57	0.00	0.23	21.02
20060926	0.000	1.78	0.00	0.22	20.54
20060927	0.000	1.66	0.00	0.22	20.22
20060928	0.000	1.82	0.00	0.22	19.96
20060929	0.000	1.43	0.00	0.21	19.37
20060930	0.000	1.63	0.00	0.21	18.93
20061001	0.000	1.71	0.00	0.21	18.93
20061002	0.000	1.54	0.00	0.21	19.47
20061003	0.000	1.31	0.00	0.20	19.87
20061004	0.000	1.34	0.00	0.20	19.95
20061005	0.000	1.39	0.00	0.20	19.98
20061006	0.000	1.31	0.00	0.20	20.29
20061007	0.000	0.96	0.00	0.19	19.70
20061008	0.000	0.86	0.00	0.19	18.86
20061009	0.106	1.06	0.00	0.19	18.55
20061010	0.000	0.99	0.00	0.19	18.55
20061011	0.000	1.00	0.00	0.19	18.78
20061012	0.000	0.95	0.00	0.19	18.82
20061013	0.000	0.74	0.00	0.19	18.26
20061014	0.000	0.85	0.00	0.18	17.53
20061015	0.000	0.86	0.00	0.18	17.24
20061016	0.000	0.70	0.00	0.18	17.23
20061017	0.099	1.58	0.11	0.18	17.72
20061018	0.000	0.98	0.00	0.19	18.41
20061019	0.098	1.17	0.00	0.19	18.93
20061020	0.098	1.06	0.00	0.19	18.77
20061021	0.000	0.97	0.00	0.19	18.55
20061022	0.099	2.19	7.86	0.18	18.47
20061023	0.000	0.87	0.00	0.28	17.20
20061024	0.000	1.05	0.00	0.27	16.29
20061025	0.000	0.89	0.00	0.27	15.36
20061026	0.000	0.94	0.00	0.27	15.41
20061027	0.089	1.95	0.18	0.26	15.81
20061028	0.000	0.91	0.00	0.28	15.79
20061029	0.000	1.16	0.00	0.28	15.65
20061030	0.000	1.24	0.00	0.28	15.62
20061031	0.000	1.27	0.00	0.27	15.83
20061101	0.000	1.27	0.00	0.27	16.21
20061102	0.000	0.93	0.00	0.27	16.03
20061103	0.000	0.72	0.00	0.27	15.37
20061104	0.000	0.82	0.00	0.27	14.77
20061105	0.000	0.84	0.00	0.26	14.56
20061106	0.000	0.94	0.00	0.26	14.85
20061107	0.089	1.41	0.38	0.26	15.18
20061108	0.085	0.78	0.00	0.30	15.06
20061109	0.000	1.15	0.00	0.29	15.28
20061110	0.000	1.20	0.00	0.29	15.71
20061111	0.000	1.13	0.00	0.29	16.12
20061112	0.000	0.78	0.00	0.28	15.47
20061113	0.000	1.00	0.00	0.28	14.93
20061114	0.000	1.01	0.00	0.28	14.79
20061115	0.087	1.90	13.28	0.28	15.18
20061116	0.078	1.55	0.03	0.36	15.04
20061117	0.000	0.78	0.00	0.36	14.45
20061118	0.000	0.92	0.00	0.36	14.13
20061119	0.000	0.79	0.00	0.35	13.77
20061120	0.000	0.62	0.00	0.35	13.09
20061121	0.000	0.65	0.00	0.35	12.76
20061122	0.080	0.84	0.00	0.35	12.73
20061123	0.000	0.95	0.00	0.34	12.85
20061124	0.000	1.08	0.00	0.34	13.12
20061125	0.000	1.08	0.00	0.34	13.36
20061126	0.000	1.10	0.00	0.34	13.44
20061127	0.000	1.00	0.00	0.34	13.80
20061128	0.000	0.93	0.00	0.33	14.63
20061129	0.081	1.10	0.00	0.33	15.30
20061130	0.081	1.41	0.06	0.33	16.05
20061201	0.080	1.88	0.09	0.34	16.00
20061202	0.000	0.87	0.00	0.35	15.38
20061203	0.000	0.62	0.00	0.35	14.87
20061204	0.000	0.58	0.00	0.35	14.10
20061205	0.000	0.81	0.00	0.34	13.47
20061206	0.000	0.97	0.00	0.34	13.22
20061207	0.000	0.75	0.00	0.34	12.93
20061208	0.000	0.47	0.00	0.34	11.86
20061209	0.000	0.69	0.00	0.34	11.23
20061210	0.000	0.88	0.00	0.34	11.36
20061211	0.000	0.99	0.00	0.33	12.10
20061212	0.000	0.91	0.00	0.33	12.72
20061213	0.000	0.79	0.00	0.33	13.48
20061214	0.082	0.85	0.00	0.33	14.09
20061215	0.000	0.80	0.00	0.33	14.35
20061216	0.000	1.02	0.00	0.33	14.61
20061217	0.000	1.07	0.00	0.32	14.75
20061218	0.000	1.03	0.00	0.32	15.10
20061219	0.000	1.01	0.00	0.32	15.28
20061220	0.000	0.76	0.00	0.32	15.28
20061221	0.000	0.71	0.00	0.32	15.51
20061222	0.083	0.94	2.63	0.32	15.88
20061223	0.000	0.91	0.00	0.37	15.94
20061224	0.077	0.97	0.06	0.37	15.58
20061225	0.077	1.60	3.24	0.37	15.85
20061226	0.000	0.73	0.00	0.41	15.08
20061227	0.000	0.80	0.00	0.41	14.31
20061228	0.000	0.99	0.00	0.41	13.94
20061229	0.000	0.99	0.00	0.40	14.24
20061230	0.000	1.00	0.00	0.40	14.75
20061231	0.077	1.29	0.20	0.40	15.52
The average c_Ia, ET, Fc, M_relative and TmpSoil values are estimated by DHM-WM global water balance routine as below:
date	c_Ia	ET(mm)	Fc(mm)	M_rel	TmpSoil(C)
20030101	0.059	1.35	0.31	0.80	11.24
20030102	0.065	1.16	0.02	0.81	11.87
20030103	0.000	1.38	0.00	0.80	12.51
20030104	0.000	1.22	0.00	0.80	12.65
20030105	0.000	1.22	0.00	0.79	12.91
20030106	0.000	1.28	0.00	0.79	13.24
20030107	0.000	1.22	0.00	0.78	13.22
20030108	0.000	1.07	0.00	0.78	13.12
20030109	0.000	1.40	0.00	0.77	13.34
20030110	0.000	1.57	0.00	0.77	13.82
20030111	0.000	1.48	0.00	0.77	13.83
20030112	0.000	0.97	0.00	0.76	13.62
20030113	0.000	0.48	0.00	0.76	13.35
20030114	0.000	0.90	0.00	0.76	13.19
20030115	0.000	1.29	0.00	0.76	13.27
20030116	0.081	1.17	0.06	0.76	13.13
20030117	0.000	1.45	0.00	0.76	13.14
20030118	0.000	0.99	0.00	0.75	12.81
20030119	0.000	0.93	0.00	0.75	12.51
20030120	0.000	1.04	0.00	0.75	12.51
20030121	0.000	1.47	0.00	0.75	13.00
20030122	0.083	1.44	0.10	0.75	13.75
20030123	0.000	1.50	0.00	0.75	13.72
20030124	0.000	0.73	0.00	0.74	12.93
20030125	0.000	0.74	0.00	0.74	12.40
20030126	0.000	0.87	0.00	0.74	12.10
20030127	0.000	1.21	0.00	0.74	12.23
20030128	0.000	1.06	0.00	0.74	12.16
20030129	0.000	1.14	0.00	0.73	12.65
20030130	0.085	1.89	0.06	0.73	13.33
20030131	0.000	1.38	0.00	0.73	13.61
20030201	0.000	1.37	0.00	0.73	13.79
20030202	0.000	1.66	0.00	0.73	13.99
20030203	0.000	1.89	0.00	0.72	14.21
20030204	0.086	1.40	0.06	0.72	14.77
20030205	0.000	1.64	0.00	0.72	14.60
20030206	0.086	1.40	4.62	0.72	14.56
20030207	0.078	1.56	0.00	0.75	14.48
20030208	0.000	1.58	0.00	0.74	14.39
20030209	0.080	1.53	0.00	0.74	14.25
20030210	0.080	1.58	0.41	0.74	14.14
20030211	0.000	1.76	0.00	0.75	14.09
20030212	0.000	1.55	0.00	0.74	14.00
20030213	0.000	2.02	0.00	0.74	14.09
20030214	0.000	1.79	0.00	0.73	14.21
20030215	0.000	1.80	0.00	0.73	14.37
20030216	0.081	2.16	7.29	0.73	14.71
20030217	0.072	2.58	0.00	0.76	14.91
20030218	0.000	0.91	0.00	0.76	14.49
20030219	0.000	1.34	0.00	0.75	14.21
20030220	0.000	1.82	0.00	0.75	14.43
20030221	0.000	1.71	0.00	0.75	14.63
20030222	0.078	1.68	6.58	0.74	14.77
20030223	0.073	2.00	0.00	0.77	14.81
20030224	0.000	2.34	0.00	0.76	14.90
20030225	0.000	2.34	0.00	0.76	14.99
20030226	0.078	2.52	1.24	0.75	15.15
20030227	0.075	2.34	4.80	0.77	15.29
20030228	0.000	1.32	0.00	0.78	15.05
20030301	0.075	1.64	7.39	0.78	14.92
20030302	0.070	1.88	0.28	0.80	14.86
20030303	0.073	1.75	0.44	0.80	14.77
20030304	0.073	1.92	0.66	0.80	14.74
20030305	0.073	1.57	0.07	0.80	14.75
20030306	0.074	1.65	0.23	0.79	15.43
20030307	0.075	2.65	5.47	0.79	15.77
20030308	0.072	2.26	0.01	0.80	15.79
20030309	0.075	2.26	0.49	0.79	15.80
20030310	0.000	2.32	0.00	0.79	15.90
20030311	0.000	2.85	0.00	0.79	15.98
20030312	0.000	2.55	0.00	0.78	16.04
20030313	0.079	3.30	0.34	0.77	16.16
20030314	0.078	3.33	0.01	0.77	16.29
20030315	0.079	2.45	2.88	0.77	16.22
20030316	0.075	2.32	0.01	0.78	16.27
20030317	0.077	2.66	7.39	0.78	16.40
20030318	0.071	2.11	0.04	0.80	16.22
20030319	0.074	2.96	0.44	0.79	16.22
20030320	0.074	2.79	8.28	0.79	16.63
20030321	0.000	3.14	0.00	0.81	16.95
20030322	0.000	2.82	0.00	0.80	16.97
20030323	0.000	3.16	0.00	0.79	16.93
20030324	0.000	3.16	0.00	0.78	16.96
20030325	0.000	3.23	0.00	0.77	16.96
20030326	0.000	3.29	0.00	0.77	16.91
20030327	0.000	2.94	0.00	0.76	17.07
20030328	0.000	2.99	0.00	0.75	17.11
20030329	0.000	3.41	0.00	0.75	17.13
20030330	0.085	3.34	0.45	0.74	16.93
20030331	0.000	2.12	0.00	0.75	16.31
20030401	0.000	2.10	0.00	0.74	15.83
20030402	0.000	2.89	0.00	0.74	15.84
20030403	0.000	3.21	0.00	0.73	15.92
20030404	0.000	3.26	0.00	0.73	16.18
20030405	0.087	3.70	0.04	0.72	16.36
20030406	0.000	3.53	0.00	0.72	16.68
20030407	0.088	3.71	4.36	0.71	17.12
20030408	0.081	3.37	8.64	0.73	17.40
20030409	0.070	2.24	2.14	0.78	17.14
20030410	0.071	2.57	0.38	0.79	16.78
20030411	0.000	2.55	0.00	0.79	16.45
20030412	0.000	3.23	0.00	0.78	16.35
20030413	0.000	3.23	0.00	0.77	16.28
20030414	0.000	3.93	0.00	0.77	16.39
20030415	0.000	4.01	0.00	0.76	16.73
20030416	0.000	4.00	0.00	0.75	17.03
20030417	0.083	3.85	0.02	0.74	17.35
20030418	0.000	3.35	0.00	0.74	17.54
20030419	0.000	3.61	0.00	0.73	17.73
20030420	0.000	3.57	0.00	0.72	17.80
20030421	0.000	3.52	0.00	0.72	17.80
20030422	0.000	3.45	0.00	0.71	17.87
20030423	0.000	3.83	0.00	0.71	17.76
20030424	0.000	3.52	0.00	0.70	17.63
20030425	0.091	3.82	7.12	0.69	17.44
20030426	0.078	3.13	0.00	0.73	17.41
20030427	0.000	3.35	0.00	0.73	17.52
20030428	0.000	3.46	0.00	0.72	17.64
20030429	0.000	3.60	0.00	0.71	17.79
20030430	0.084	4.28	0.38	0.71	17.96
20030501	0.082	3.97	0.00	0.71	18.16
20030502	0.083	4.46	2.34	0.70	18.37
20030503	0.079	4.50	0.01	0.72	18.50
20030504	0.000	3.94	0.00	0.71	18.55
20030505	0.000	3.65	0.00	0.71	18.80
20030506	0.000	3.60	0.00	0.70	19.02
20030507	0.000	3.82	0.00	0.69	19.29
20030508	0.000	3.92	0.00	0.68	19.50
20030509	0.000	3.77	0.00	0.68	19.61
20030510	0.000	4.36	0.00	0.67	19.71
20030511	0.095	4.70	0.09	0.66	19.79
20030512	0.000	4.96	0.00	0.66	19.85
20030513	0.000	4.14	0.00	0.65	19.43
20030514	0.000	3.81	0.00	0.65	19.17
20030515	0.000	3.57	0.00	0.64	19.06
20030516	0.000	3.04	0.00	0.63	19.16
20030517	0.000	3.83	0.00	0.63	19.31
20030518	0.099	4.61	1.35	0.62	19.43
20030519	0.093	4.70	0.00	0.64	19.58
20030520	0.000	3.87	0.00	0.63	19.40
20030521	0.000	3.48	0.00	0.63	19.20
20030522	0.104	4.49	7.06	0.62	19.26
20030523	0.000	2.16	0.00	0.68	18.97
20030524	0.000	3.37	0.00	0.68	18.92
20030525	0.000	3.36	0.00	0.67	18.89
20030526	0.093	3.39	0.00	0.66	18.86
20030527	0.000	4.49	0.00	0.65	19.03
20030528	0.000	4.94	0.00	0.65	19.03
20030529	0.000	4.02	0.00	0.64	18.94
20030530	0.000	4.62	0.00	0.63	18.94
20030531	0.000	4.80	0.00	0.62	19.04
20030601	0.101	4.83	0.00	0.61	19.12
20030602	0.000	5.01	0.00	0.60	19.29
20030603	0.111	5.61	0.01	0.59	19.44
20030604	0.000	2.52	0.00	0.59	19.37
20030605	0.000	4.52	0.00	0.59	19.53
20030606	0.112	6.00	0.36	0.58	19.50
20030607	0.109	5.78	3.15	0.59	19.59
20030608	0.100	5.03	0.00	0.63	19.64
20030609	0.000	4.50	0.00	0.62	19.78
20030610	0.000	4.44	0.00	0.61	19.98
20030611	0.105	5.25	0.00	0.60	20.25
20030612	0.105	6.14	0.29	0.60	20.38
20030613	0.102	6.34	0.06	0.61	20.41
20030614	0.108	5.69	0.00	0.61	20.44
20030615	0.000	5.52	0.00	0.60	20.47
20030616	0.112	6.69	1.36	0.59	20.52
20030617	0.105	6.25	0.04	0.62	20.56
20030618	0.105	4.56	0.00	0.61	20.53
20030619	0.106	4.64	0.06	0.61	20.31
20030620	0.105	6.16	2.46	0.61	20.26
20030621	0.000	5.20	0.00	0.64	20.19
20030622	0.000	5.12	0.00	0.63	20.14
20030623	0.000	5.11	0.00	0.61	20.10
20030624	0.000	5.13	0.00	0.61	20.12
20030625	0.000	5.31	0.00	0.60	20.14
20030626	0.000	4.85	0.00	0.59	20.21
20030627	0.111	5.14	0.00	0.58	20.32
20030628	0.113	4.99	0.00	0.57	20.45
20030629	0.114	5.50	0.06	0.56	20.43
20030630	0.112	5.23	0.14	0.57	20.46
20030701	0.110	5.51	0.00	0.57	20.51
20030702	0.111	4.04	1.22	0.57	20.38
20030703	0.103	3.55	0.00	0.60	20.33
20030704	0.105	4.32	0.00	0.59	20.38
20030705	0.106	4.61	0.00	0.58	20.45
20030706	0.106	4.92	0.01	0.58	20.51
20030707	0.106	5.31	0.07	0.58	20.58
20030708	0.000	4.72	0.00	0.59	20.65
20030709	0.000	4.89	0.00	0.58	20.79
20030710	0.000	4.90	0.00	0.57	20.95
20030711	0.109	5.75	0.14	0.56	21.07
20030712	0.107	5.22	0.00	0.57	21.08
20030713	0.108	4.89	0.00	0.56	21.10
20030714	0.000	4.97	0.00	0.55	21.05
20030715	0.111	1.89	0.00	0.55	21.39
20030716	0.110	4.08	0.00	0.55	21.27
20030717	0.111	5.96	0.14	0.54	21.30
20030718	0.000	4.53	0.00	0.55	21.20
20030719	0.111	4.68	0.00	0.54	21.13
20030720	0.000	4.59	0.00	0.53	21.09
20030721	0.000	4.74	0.00	0.52	21.07
20030722	0.115	6.24	1.35	0.52	21.10
20030723	0.106	6.07	1.13	0.55	20.99
20030724	0.102	4.80	0.00	0.57	20.90
20030725	0.000	4.37	0.00	0.56	20.80
20030726	0.000	4.40	0.00	0.56	20.69
20030727	0.107	4.60	0.00	0.55	20.64
20030728	0.108	4.81	0.00	0.54	20.63
20030729	0.000	4.93	0.00	0.54	20.65
20030730	0.110	6.63	2.72	0.53	20.69
20030731	0.101	5.49	0.01	0.57	20.58
20030801	0.103	6.18	4.08	0.56	20.51
20030802	0.097	5.10	0.00	0.60	20.47
20030803	0.100	6.14	0.59	0.58	20.45
20030804	0.098	5.87	0.26	0.60	20.45
20030805	0.098	4.88	0.00	0.60	20.49
20030806	0.101	4.88	0.00	0.59	20.19
20030807	0.101	5.96	0.23	0.59	20.03
20030808	0.000	3.09	0.00	0.60	19.98
20030809	0.102	3.16	0.00	0.59	19.93
20030810	0.103	3.13	0.00	0.59	19.89
20030811	0.104	3.20	0.00	0.58	19.86
20030812	0.105	5.16	0.10	0.58	19.93
20030813	0.103	4.45	0.00	0.59	19.98
20030814	0.104	5.00	0.00	0.58	20.12
20030815	0.105	4.75	0.00	0.57	20.25
20030816	0.106	4.86	0.00	0.56	20.38
20030817	0.107	4.67	0.00	0.56	20.49
20030818	0.108	4.59	0.00	0.55	20.59
20030819	0.109	5.43	0.27	0.55	20.64
20030820	0.000	4.43	0.00	0.56	20.72
20030821	0.107	4.39	0.00	0.55	20.80
20030822	0.109	4.82	0.00	0.54	20.64
20030823	0.000	4.58	0.00	0.54	20.65
20030824	0.000	4.51	0.00	0.53	20.66
20030825	0.112	4.65	0.00	0.52	20.81
20030826	0.000	3.84	0.00	0.52	20.91
20030827	0.114	5.87	0.39	0.51	21.05
20030828	0.109	4.64	0.00	0.53	21.09
20030829	0.111	4.77	0.00	0.52	21.13
20030830	0.000	4.42	0.00	0.51	21.17
20030831	0.000	4.35	0.00	0.51	21.20
20030901	0.114	5.40	0.05	0.50	21.24
20030902	0.000	4.31	0.00	0.51	21.27
20030903	0.114	5.95	0.59	0.50	21.28
20030904	0.108	4.44	0.00	0.52	21.28
20030905	0.110	6.06	0.11	0.51	21.09
20030906	0.108	4.33	0.00	0.52	20.83
20030907	0.000	4.19	0.00	0.51	20.63
20030908	0.000	3.60	0.00	0.50	20.37
20030909	0.000	3.55	0.00	0.50	20.17
20030910	0.000	3.43	0.00	0.49	20.05
20030911	0.000	3.65	0.00	0.49	19.82
20030912	0.000	3.53	0.00	0.48	19.80
20030913	0.000	3.48	0.00	0.47	19.78
20030914	0.000	3.43	0.00	0.47	19.78
20030915	0.000	3.26	0.00	0.46	19.94
20030916	0.000	3.48	0.00	0.45	19.85
20030917	0.000	3.61	0.00	0.45	19.76
20030918	0.000	3.59	0.00	0.44	19.66
20030919	0.000	3.53	0.00	0.44	19.59
20030920	0.000	3.37	0.00	0.43	19.73
20030921	0.115	3.51	0.00	0.43	19.84
20030922	0.116	4.89	0.27	0.42	20.13
20030923	0.112	4.04	0.01	0.45	20.12
20030924	0.000	3.69	0.00	0.44	20.06
20030925	0.000	3.61	0.00	0.43	20.02
20030926	0.115	3.59	0.00	0.43	19.99
20030927	0.000	3.44	0.00	0.42	19.81
20030928	0.000	3.32	0.00	0.41	19.66
20030929	0.000	3.15	0.00	0.41	19.38
20030930	0.000	3.11	0.00	0.40	19.03
20031001	0.000	2.47	0.00	0.40	18.59
20031002	0.000	2.31	0.00	0.39	18.18
20031003	0.000	2.15	0.00	0.39	17.79
20031004	0.000	2.12	0.00	0.38	17.50
20031005	0.000	2.14	0.00	0.38	17.56
20031006	0.000	2.14	0.00	0.38	17.92
20031007	0.099	3.33	1.16	0.37	18.37
20031008	0.000	1.54	0.00	0.42	18.48
20031009	0.000	1.78	0.00	0.41	18.52
20031010	0.000	1.62	0.00	0.41	18.55
20031011	0.087	1.77	0.00	0.41	18.71
20031012	0.087	1.63	0.00	0.41	18.83
20031013	0.000	1.46	0.00	0.40	18.93
20031014	0.087	1.47	0.00	0.40	19.14
20031015	0.000	1.94	0.00	0.40	18.82
20031016	0.000	1.63	0.00	0.39	18.18
20031017	0.000	1.72	0.00	0.39	17.79
20031018	0.000	1.81	0.00	0.39	17.83
20031019	0.000	1.73	0.00	0.39	17.74
20031020	0.000	1.65	0.00	0.38	17.55
20031021	0.000	1.68	0.00	0.38	17.52
20031022	0.000	1.78	0.00	0.38	17.71
20031023	0.000	1.83	0.00	0.37	17.67
20031024	0.000	1.69	0.00	0.37	17.89
20031025	0.000	1.66	0.00	0.37	18.07
20031026	0.091	2.83	0.13	0.36	18.21
20031027	0.088	1.91	0.00	0.38	18.55
20031028	0.088	1.70	2.11	0.38	18.14
20031029	0.082	0.83	0.00	0.43	17.31
20031030	0.000	1.49	0.00	0.42	17.10
20031031	0.000	1.54	0.00	0.42	17.10
20031101	0.000	1.64	0.00	0.42	17.15
20031102	0.000	1.61	0.00	0.41	17.19
20031103	0.000	1.70	0.00	0.41	17.29
20031104	0.084	2.26	0.05	0.41	17.54
20031105	0.083	1.43	0.00	0.41	18.04
20031106	0.000	1.38	0.00	0.41	18.51
20031107	0.000	1.39	0.00	0.41	18.85
20031108	0.000	1.27	0.00	0.40	18.53
20031109	0.000	1.26	0.00	0.40	18.27
20031110	0.000	1.11	0.00	0.40	17.46
20031111	0.000	1.31	0.00	0.40	17.20
20031112	0.000	1.51	0.00	0.40	17.38
20031113	0.000	1.40	0.00	0.39	17.50
20031114	0.000	1.57	0.00	0.39	17.01
20031115	0.000	0.99	0.00	0.39	16.15
20031116	0.000	1.19	0.00	0.39	15.74
20031117	0.000	1.39	0.00	0.38	15.69
20031118	0.087	1.36	0.00	0.38	16.23
20031119	0.087	2.06	0.38	0.38	16.70
20031120	0.000	1.05	0.00	0.41	16.32
20031121	0.000	1.22	0.00	0.40	16.02
20031122	0.000	1.27	0.00	0.40	15.85
20031123	0.000	1.25	0.00	0.40	15.71
20031124	0.085	2.08	0.08	0.40	15.66
20031125	0.000	1.10	0.00	0.41	14.98
20031126	0.000	0.87	0.00	0.40	14.22
20031127	0.000	1.14	0.00	0.40	13.95
20031128	0.084	1.81	0.06	0.40	13.73
20031129	0.000	1.44	0.00	0.41	13.89
20031130	0.000	1.24	0.00	0.40	13.87
20031201	0.000	1.23	0.00	0.40	13.85
20031202	0.000	1.05	0.00	0.40	13.69
20031203	0.000	0.95	0.00	0.39	13.36
20031204	0.085	1.35	0.03	0.39	13.20
20031205	0.000	0.50	0.00	0.40	12.88
20031206	0.000	0.64	0.00	0.40	12.47
20031207	0.000	0.71	0.00	0.39	11.97
20031208	0.000	0.75	0.00	0.39	11.65
20031209	0.000	0.87	0.00	0.39	11.70
20031210	0.085	1.69	0.35	0.39	11.93
20031211	0.000	0.91	0.00	0.42	12.17
20031212	0.000	0.68	0.00	0.41	11.86
20031213	0.082	1.21	0.03	0.41	11.70
20031214	0.082	1.21	0.46	0.42	11.58
20031215	0.000	0.93	0.00	0.44	11.61
20031216	0.000	0.92	0.00	0.44	11.63
20031217	0.080	1.47	0.19	0.43	12.04
20031218	0.000	0.62	0.00	0.45	11.76
20031219	0.000	0.92	0.00	0.45	11.82
20031220	0.000	0.75	0.00	0.45	11.60
20031221	0.000	0.78	0.00	0.44	11.37
20031222	0.000	0.80	0.00	0.44	11.12
20031223	0.079	1.51	0.04	0.44	11.25
20031224	0.079	1.33	0.00	0.44	11.82
20031225	0.000	1.06	0.00	0.44	11.99
20031226	0.000	1.06	0.00	0.44	12.12
20031227	0.000	0.95	0.00	0.44	11.94
20031228	0.000	1.00	0.00	0.44	11.96
20031229	0.000	1.04	0.00	0.43	12.13
20031230	0.080	1.41	0.01	0.43	12.74
20031231	0.000	0.92	0.00	0.43	12.56
20040101	0.000	1.06	0.00	0.43	12.54
20040102	0.000	1.20	0.00	0.43	12.65
20040103	0.000	1.21	0.00	0.43	13.27
20040104	0.000	1.20	0.00	0.43	13.77
20040105	0.081	1.61	0.06	0.42	14.72
20040106	0.000	1.38	0.00	0.43	14.83
20040107	0.000	0.71	0.00	0.43	13.73
20040108	0.081	0.67	0.00	0.43	12.73
20040109	0.081	1.01	0.04	0.42	12.02
20040110	0.000	0.67	0.00	0.43	11.45
20040111	0.000	0.67	0.00	0.43	11.00
20040112	0.000	0.72	0.00	0.43	10.72
20040113	0.000	0.99	0.00	0.43	10.74
20040114	0.000	0.86	0.00	0.42	11.29
20040115	0.000	1.02	0.00	0.42	11.98
20040116	0.000	1.03	0.00	0.42	12.07
20040117	0.000	1.00	0.00	0.42	12.12
20040118	0.082	1.59	0.01	0.42	12.39
20040119	0.000	1.20	0.00	0.42	12.83
20040120	0.000	0.74	0.00	0.42	12.13
20040121	0.000	0.83	0.00	0.42	11.63
20040122	0.000	0.94	0.00	0.41	11.54
20040123	0.000	0.96	0.00	0.41	11.51
20040124	0.000	0.81	0.00	0.41	11.49
20040125	0.083	1.36	0.00	0.41	11.86
20040126	0.082	2.18	13.03	0.41	12.54
20040127	0.000	0.73	0.00	0.48	12.38
20040128	0.000	1.10	0.00	0.47	12.12
20040129	0.000	0.83	0.00	0.47	11.67
20040130	0.000	1.04	0.00	0.47	11.52
20040131	0.000	1.05	0.00	0.46	11.53
20040201	0.077	1.49	0.02	0.46	11.53
20040202	0.077	1.50	0.04	0.46	11.67
20040203	0.000	0.68	0.00	0.47	11.76
20040204	0.000	1.08	0.00	0.47	11.71
20040205	0.000	1.00	0.00	0.46	12.02
20040206	0.077	2.25	1.44	0.46	12.75
20040207	0.000	1.65	0.00	0.49	13.16
20040208	0.000	1.65	0.00	0.49	13.49
20040209	0.000	1.62	0.00	0.48	13.57
20040210	0.076	1.25	0.00	0.48	13.42
20040211	0.077	1.53	0.11	0.48	13.53
20040212	0.075	1.14	3.33	0.49	13.66
20040213	0.000	0.71	0.00	0.53	13.46
20040214	0.074	1.23	4.47	0.52	13.31
20040215	0.071	1.07	0.00	0.55	13.22
20040216	0.000	1.17	0.00	0.55	13.14
20040217	0.074	1.02	0.00	0.55	12.98
20040218	0.000	0.71	0.00	0.54	12.56
20040219	0.000	1.36	0.00	0.54	12.54
20040220	0.000	1.62	0.00	0.54	12.80
20040221	0.000	1.72	0.00	0.54	13.06
20040222	0.000	1.85	0.00	0.53	13.30
20040223	0.077	2.47	0.02	0.53	13.52
20040224	0.076	1.68	0.00	0.53	13.95
20040225	0.076	1.57	0.10	0.53	14.20
20040226	0.075	1.23	0.00	0.54	13.84
20040227	0.000	0.59	0.00	0.54	13.17
20040228	0.000	1.10	0.00	0.54	13.23
20040229	0.000	1.11	0.00	0.54	13.27
20040301	0.000	1.69	0.00	0.53	13.89
20040302	0.000	1.82	0.00	0.53	14.51
20040303	0.000	2.19	0.00	0.53	15.00
20040304	0.000	2.24	0.00	0.52	15.45
20040305	0.000	1.95	0.00	0.52	16.03
20040306	0.079	2.07	0.00	0.51	16.52
20040307	0.000	2.17	0.00	0.51	16.66
20040308	0.000	2.31	0.00	0.51	16.52
20040309	0.000	2.39	0.00	0.51	16.26
20040310	0.000	1.92	0.00	0.50	15.82
20040311	0.000	1.53	0.00	0.50	15.13
20040312	0.000	1.93	0.00	0.49	14.79
20040313	0.000	1.95	0.00	0.49	14.97
20040314	0.000	1.95	0.00	0.49	15.11
20040315	0.000	1.95	0.00	0.48	15.23
